# =*= AGENT TRAINING =*=
#
# = TRAINING PARAMETERS =
#  * Agent type: reactive
#  * Dataset used: matterport
#  * Training length: 15000 episodes
#  * Date / hour: 2021-08-26_22:02:20
# = ADDITIONAL PARAMETERS =
#  * reward_method: contour
#  * prioritized: False
#  * collisions: True
#
# = EPISODE TRAINING RESULTS

episode,time_taken,actions_taken,initial_goal_distance,final_goal_distance,distance_travelled,successful,average_reward
1,0.03183770179748535,13,21.379547,21.359713,0.019834518,False,-8.443004456195432
2,0.006117343902587891,3,7.263616,7.031256,0.23235989,False,-33.5305052400815
3,0.00336456298828125,2,9.287826,9.287826,0.0,False,-50.125
4,0.00507354736328125,3,23.883207,23.863926,0.019281387,False,-32.857287089029946
5,0.0019173622131347656,1,23.285769,23.285769,0.0,False,-100.0
6,0.0038275718688964844,2,3.2693229,3.1652894,0.10403347,False,-45.07045106139279
7,0.0051190853118896484,3,23.441715,23.44043,0.001285553,False,-33.45714823404948
8,0.0019998550415039062,1,6.922226,6.922226,0.0,False,-100.0
9,0.006556510925292969,3,10.268022,10.268022,0.0,False,-32.86815161122505
10,0.0036296844482421875,2,18.368591,18.491814,-0.12322235,False,-53.21361583469343
11,0.0018379688262939453,1,13.081788,13.081788,0.0,False,-100.0
12,0.01719212532043457,7,12.954127,12.452968,0.50115967,False,-10.038577572020975
13,0.007186174392700195,4,10.758208,10.052977,0.70523167,False,-17.5
14,0.004006385803222656,2,12.8512,12.843125,0.00807476,False,-50.63571270980083
15,0.0018510818481445312,1,15.674685,15.674685,0.0,False,-100.0
16,0.003992557525634766,2,5.122386,5.369466,-0.24707985,False,-63.613546612385676
17,0.009121894836425781,5,21.760414,21.955173,-0.19475937,False,-24.095187377929687
18,1.2374134063720703,16,17.70774,19.131916,-1.4241753,False,-15.752813441101324
19,0.949275016784668,7,16.933771,16.68486,0.2489109,False,-12.92821158703347
20,0.4098482131958008,3,6.321111,6.321111,0.0,False,-33.5
21,0.13646650314331055,1,23.25649,23.25649,0.0,False,-100.0
22,1.359391689300537,10,14.000907,13.066885,0.93402195,False,-5.862564056457927
23,0.4089679718017578,3,9.860781,9.860781,0.0,False,-33.18982070508829
24,0.6831536293029785,5,19.18732,19.18732,0.0,False,-20.49095663210028
25,0.8165714740753174,6,20.340498,19.85409,0.48640823,False,-13.376795783008333
26,0.13785862922668457,1,19.661558,19.661558,0.0,False,-100.0
27,0.5443449020385742,4,23.883434,23.883434,0.0,False,-26.802146601283198
