# =*= AGENT TRAINING =*=
#
# = TRAINING PARAMETERS =
#  * Agent type: reactive
#  * Dataset used: gibson
#  * Training length: 15000 episodes
#  * Date / hour: 2021-08-30_13:08:25
# = ADDITIONAL PARAMETERS =
#  * reward_method: column
#  * prioritized: False
#  * collisions: True
#
# = EPISODE TRAINING RESULTS

episode,time_taken,actions_taken,initial_goal_distance,final_goal_distance,distance_travelled,successful,average_reward
1,0.006051540374755859,1,6.492003,6.492003,0.0,False,-100.0
2,0.00327301025390625,2,11.070245,11.009443,0.060801506,False,-100.0
3,0.007544994354248047,5,5.5829577,5.832935,-0.24997711,False,-25.071485033900466
4,0.011510372161865234,6,4.4566293,3.9667275,0.48990178,False,-14.05586582635174
5,0.008185148239135742,5,3.9163117,4.413369,-0.49705744,False,-33.6595077933167
6,0.0024003982543945312,2,8.905899,8.667443,0.23845577,False,-45.0
7,0.004845619201660156,4,4.5490117,4.5490117,0.0,False,-25.60145011689255
8,0.0012347698211669922,1,6.59727,6.59727,0.0,False,-100.0
9,0.0029087066650390625,2,3.6478531,3.6184995,0.029353619,False,-48.65731906890869
10,0.006975650787353516,4,12.146287,12.146287,0.0,False,-25.499070861929397
11,0.0012559890747070312,1,3.7630727,3.7630727,0.0,False,-100.0
12,0.003080129623413086,2,5.3584156,5.3584156,0.0,False,-52.66999852759375
13,0.002493619918823242,2,4.06841,4.06841,0.0,False,-50.89481498231817
14,0.006033897399902344,3,11.564434,11.634809,-0.07037449,False,-35.66294682188254
15,0.016427993774414062,9,5.2780104,5.215649,0.06236124,False,-13.349374371542114
16,0.013376712799072266,7,11.080929,10.957137,0.123791695,False,-17.52717588050382
17,0.0012390613555908203,1,8.646768,8.646768,0.0,False,-100.0
18,0.010606765747070312,6,3.800812,4.083526,-0.28271413,False,-23.317662272105895
19,1.2537739276885986,9,4.2793965,4.4704576,-0.19106102,False,-13.464663119666461
20,0.4105246067047119,3,3.7291245,3.4304664,0.29865813,False,-36.11574002071137
21,1.9101393222808838,14,5.170262,6.090799,-0.920537,False,-26.475124164859682
22,0.5465145111083984,4,2.0249193,2.2708247,-0.2459054,False,-31.072317755355307
23,0.13907742500305176,1,4.1160016,4.1160016,0.0,False,-100.0
24,0.1398301124572754,1,11.340938,11.340938,0.0,False,-100.0
25,0.27529406547546387,2,15.541231,15.541231,0.0,False,-45.89778029924628
26,0.8226726055145264,6,4.6620803,4.6620803,0.0,False,-17.0298108250596
27,0.13796377182006836,1,5.447676,5.447676,0.0,False,-100.0
28,0.41074252128601074,3,8.238846,7.775367,0.46347904,False,-36.052974330679604
29,0.2736818790435791,2,5.3493476,5.431362,-0.08201456,False,-71.57637804613722
30,0.14050602912902832,1,4.1606774,4.074658,0.086019516,False,-100.0
31,0.137406587600708,1,8.044155,8.044155,0.0,False,-100.0
32,0.4097757339477539,3,8.171027,8.171027,0.0,False,-44.302538203593144
33,0.13759732246398926,1,6.0418897,6.0418897,0.0,False,-100.0
34,0.1381998062133789,1,6.100602,6.100602,0.0,False,-100.0
35,0.4129605293273926,3,4.808661,4.907517,-0.09885597,False,-44.86732074036846
36,0.27499818801879883,2,19.176147,19.176147,0.0,False,-48.64418860928106
37,0.274890661239624,2,2.1828904,2.1828904,0.0,False,-45.0
38,0.13854217529296875,1,8.334286,8.334286,0.0,False,-100.0
39,0.412508487701416,3,10.760421,10.800586,-0.040164948,False,-38.020855800449304
40,0.546562671661377,4,7.748638,7.5042763,0.24436188,False,-23.009545277571732
41,0.41248393058776855,3,9.698004,9.668876,0.029128075,False,-32.43821021349595
42,0.6887376308441162,5,7.137549,6.9371476,0.2004013,False,-21.571123597516316
43,0.2788996696472168,2,12.6807165,12.6807165,0.0,False,-48.88932444591251
44,0.8202304840087891,6,10.9214325,11.218394,-0.29696178,False,-21.904355905355413
45,0.1394190788269043,1,5.156345,5.156345,0.0,False,-100.0
46,0.2765350341796875,2,4.330337,4.330337,0.0,False,-48.871767472059844
47,1.0971243381500244,8,11.1717615,10.772138,0.39962387,False,-9.12204501506207
48,0.680854082107544,5,5.693393,6.1019583,-0.40856504,False,-31.33923755042779
49,0.6797692775726318,5,6.8223915,7.1338606,-0.31146908,False,-27.766950062748084
50,0.6812744140625,5,7.22991,6.986208,0.24370193,False,-18.15
51,0.4078559875488281,3,6.98269,6.98269,0.0,False,-33.5
52,0.6816918849945068,5,10.102402,9.865066,0.23733616,False,-26.136811689811612
53,1.0928966999053955,8,6.916717,6.882912,0.033804893,False,-24.17587803024979
54,0.1367816925048828,1,5.676159,5.547663,0.1284957,False,-100.0
55,0.2736523151397705,2,7.092013,6.8518953,0.24011755,False,-45.0
56,0.812387228012085,6,6.0637264,5.565085,0.4986415,False,-13.458333333333334
57,2.299647569656372,15,4.173276,4.293901,-0.12062502,False,-20.529509206821324
58,0.27399778366088867,2,5.949139,5.910817,0.038321972,False,-45.0
59,1.5055451393127441,11,17.554941,17.071398,0.4835434,False,-9.73725080735186
60,0.9580078125,7,7.784699,7.436479,0.34821987,False,-15.64119204814829
61,0.958345890045166,7,8.09696,8.134045,-0.03708458,False,-16.0354407569324
62,1.0901386737823486,8,4.1652865,2.9587054,1.2065811,False,-6.142884403643016
63,0.13748598098754883,1,9.443188,9.443188,0.0,False,-100.0
64,0.2743191719055176,2,8.785749,8.785749,0.0,False,-50.125
65,0.13747572898864746,1,10.205991,10.205991,0.0,False,-100.0
66,0.9568290710449219,7,5.2899213,5.7092714,-0.41935015,False,-22.02449523102512
67,0.8181848526000977,6,4.809568,4.6639514,0.14561653,False,-15.172482216006879
68,1.0888864994049072,8,7.3726683,7.366559,0.0061092377,False,-13.8999573193761
