# =*= AGENT TRAINING =*=
#
# = TRAINING PARAMETERS =
#  * Agent type: reactive
#  * Dataset used: gibson
#  * Training length: 15000 episodes
#  * Date / hour: 2021-08-29_02:19:02
# = ADDITIONAL PARAMETERS =
#  * reward_method: column
#  * prioritized: False
#  * collisions: False
#
# = EPISODE TRAINING RESULTS

episode,time_taken,actions_taken,initial_goal_distance,final_goal_distance,distance_travelled,successful,average_reward
1,0.006057262420654297,1,6.492003,6.492003,0.0,False,-100.0
2,0.012165069580078125,7,11.070245,10.958154,0.112091064,False,-27.61690622276881
3,0.010252714157104492,6,5.5829577,6.075319,-0.49236107,False,-29.576891534688286
4,0.008473396301269531,5,4.4566293,3.958549,0.49808025,False,-15.218573518476308
5,0.0028743743896484375,2,3.9163117,4.1662707,-0.24995899,False,-65.59455639490471
6,0.004434823989868164,4,8.905899,8.905899,0.0,False,-25.1875
7,0.0012481212615966797,1,4.5490117,4.5490117,0.0,False,-100.0
8,0.0038139820098876953,2,6.59727,6.4162183,0.18105173,False,-45.0
9,0.004967451095581055,4,3.6478531,3.6478531,0.0,False,-25.307489248963293
10,0.0012450218200683594,1,12.146287,12.146287,0.0,False,-100.0
11,0.002496004104614258,2,3.7630727,3.7630727,0.0,False,-45.0
12,0.003077983856201172,2,5.3584156,5.3584156,0.0,False,-48.109506674598094
13,0.0185244083404541,12,4.06841,4.02991,0.038499832,False,-8.491092686064533
14,0.01520395278930664,8,11.564434,11.548529,0.01590538,False,-20.62097492717328
15,1.287597894668579,15,5.2780104,5.8260674,-0.5480571,False,-18.609112008747307
16,0.4101064205169678,3,11.080929,10.953585,0.12734413,False,-66.46590042114258
17,2.447979688644409,18,8.646768,7.97364,0.67312765,False,-18.07832988626691
18,0.13693642616271973,1,3.800812,3.800812,0.0,False,-100.0
19,0.1368856430053711,1,4.2793965,4.2793965,0.0,False,-100.0
20,0.27416348457336426,2,3.7291245,3.7291245,0.0,False,-45.83864020978737
21,0.819521427154541,6,5.170262,5.170262,0.0,False,-20.04559084862052
22,0.1414341926574707,1,2.0249193,2.0249193,0.0,False,-100.0
23,0.4145352840423584,3,4.1160016,3.7378087,0.3781929,False,-26.666666666666668
24,0.557265043258667,4,11.340938,11.734814,-0.39387608,False,-40.8622607830099
25,0.4093918800354004,3,15.541231,15.541231,0.0,False,-28.850219968531064
26,0.13817477226257324,1,4.6620803,4.6620803,0.0,False,-100.0
27,0.13834786415100098,1,5.447676,5.447676,0.0,False,-100.0
28,0.6853551864624023,5,8.238846,8.006557,0.23228836,False,-21.190336963626443
29,0.27804136276245117,2,5.3493476,5.3493476,0.0,False,-71.57637804613722
30,0.14024853706359863,1,4.1606774,4.1606774,0.0,False,-100.0
31,0.9648215770721436,7,8.044155,7.695854,0.34830093,False,-48.775084120420715
32,0.41396331787109375,3,8.171027,7.9757233,0.19530392,False,-51.397139413648915
33,0.6813249588012695,5,6.0418897,5.8737493,0.16814041,False,-19.24940108189305
34,0.2744252681732178,2,6.100602,6.100602,0.0,False,-45.0
35,0.8200113773345947,6,4.808661,5.040636,-0.23197508,False,-19.93535514255088
36,0.13906121253967285,1,19.176147,19.176147,0.0,False,-100.0
37,0.27434730529785156,2,2.1828904,2.1828904,0.0,False,-66.8485045223492
38,1.093592882156372,8,8.334286,8.137157,0.1971283,False,-11.805048082311615
39,0.682870626449585,5,10.760421,10.989499,-0.2290783,False,-45.05430296022691
