# =*= AGENT TRAINING =*=
#
# = TRAINING PARAMETERS =
#  * Agent type: reactive
#  * Dataset used: gibson
#  * Training length: 15000 episodes
#  * Date / hour: 2021-08-28_12:08:49
# = ADDITIONAL PARAMETERS =
#  * reward_method: contour
#  * prioritized: False
#  * collisions: False
#
# = EPISODE TRAINING RESULTS

episode,time_taken,actions_taken,initial_goal_distance,final_goal_distance,distance_travelled,successful,average_reward
1,0.04344916343688965,1,6.492003,6.492003,0.0,False,-100.0
2,0.012222766876220703,7,11.070245,10.958154,0.112091064,False,-18.141426441395197
3,0.010673284530639648,6,5.5829577,6.075319,-0.49236107,False,-26.28839925930879
4,0.006998300552368164,5,4.4566293,3.958549,0.49808025,False,-15.841993350576399
5,0.0031518936157226562,2,3.9163117,4.1662707,-0.24995899,False,-65.98136324078703
6,0.003900289535522461,4,8.905899,8.905899,0.0,False,-25.1875
7,0.0011973381042480469,1,4.5490117,4.5490117,0.0,False,-100.0
8,0.0049228668212890625,2,6.59727,6.4162183,0.18105173,False,-45.0
9,0.0044901371002197266,4,3.6478531,3.6478531,0.0,False,-25.307489248963293
10,0.0012764930725097656,1,12.146287,12.146287,0.0,False,-100.0
11,0.002978086471557617,2,3.7630727,3.7630727,0.0,False,-46.18551980301319
12,0.0025811195373535156,2,5.3584156,5.3584156,0.0,False,-48.98861684998633
13,0.01805424690246582,12,4.06841,4.02991,0.038499832,False,-8.273173761029875
14,0.01169586181640625,8,11.564434,11.548529,0.01590538,False,-11.238682746887207
15,1.727041244506836,15,5.2780104,5.8260674,-0.5480571,False,-11.438721500823423
16,0.40815114974975586,3,11.080929,10.953585,0.12734413,False,-43.80304835461175
17,2.441967487335205,18,8.646768,7.97364,0.67312765,False,-8.45652833126089
18,0.13763189315795898,1,3.800812,3.800812,0.0,False,-100.0
19,0.14476561546325684,1,4.2793965,4.2793965,0.0,False,-100.0
20,0.2725534439086914,2,3.7291245,3.7291245,0.0,False,-49.06883388527302
21,0.8122987747192383,6,5.170262,5.170262,0.0,False,-16.55554057645814
22,0.13709378242492676,1,2.0249193,2.0249193,0.0,False,-100.0
23,0.41339659690856934,3,4.1160016,3.7378087,0.3781929,False,-26.666666666666668
24,0.5519142150878906,4,11.340938,11.734814,-0.39387608,False,-35.594297260369615
25,0.4125480651855469,3,15.541231,15.541231,0.0,False,-32.724649127885336
26,0.1373443603515625,1,4.6620803,4.6620803,0.0,False,-100.0
27,0.13838934898376465,1,5.447676,5.447676,0.0,False,-100.0
28,0.6843492984771729,5,8.238846,8.006557,0.23228836,False,-16.674507923392433
29,0.27497148513793945,2,5.3493476,5.3493476,0.0,False,-49.885021502073414
30,0.13808846473693848,1,4.1606774,4.1606774,0.0,False,-100.0
31,0.9589331150054932,7,8.044155,7.695854,0.34830093,False,-17.627281309172417
32,0.40851473808288574,3,8.171027,7.9757233,0.19530392,False,-32.93970046042716
33,0.6813912391662598,5,6.0418897,5.8737493,0.16814041,False,-18.15
34,0.27233242988586426,2,6.100602,6.100602,0.0,False,-48.446033462755224
35,0.8144488334655762,6,4.808661,5.040636,-0.23197508,False,-20.741251309712727
36,0.13654279708862305,1,19.176147,19.176147,0.0,False,-100.0
37,0.27209973335266113,2,2.1828904,2.1828904,0.0,False,-53.813730191518886
38,1.0850822925567627,8,8.334286,8.137157,0.1971283,False,-10.963452544400553
39,0.6803286075592041,5,10.760421,10.989499,-0.2290783,False,-34.45799649830624
40,0.6797676086425781,5,7.748638,7.04455,0.7040882,False,-14.069654187968307
41,0.6783530712127686,5,9.698004,9.668876,0.029128075,False,-19.85015039280345
42,0.40901637077331543,3,7.137549,7.137549,0.0,False,-33.5
43,0.6776034832000732,5,12.6807165,12.700709,-0.019992828,False,-23.761312101510704
44,1.491312026977539,11,10.9214325,11.22641,-0.30497742,False,-12.090703790838068
45,0.8159878253936768,6,5.156345,4.7271442,0.42920065,False,-13.421834702469974
46,2.218463659286499,15,4.330337,4.881624,-0.5512872,False,-11.56958310012136
47,1.7709641456604004,13,11.1717615,10.869034,0.3027277,False,-5.597775059787916
48,1.8883841037750244,14,5.693393,6.438268,-0.74487495,False,-13.883949703402411
49,1.0881609916687012,8,6.8223915,6.7946415,0.027750015,False,-12.224894375300508
50,0.14076733589172363,1,7.22991,7.22991,0.0,False,-100.0
51,0.27324604988098145,2,6.98269,6.98269,0.0,False,-50.125
52,0.13684296607971191,1,10.102402,10.102402,0.0,False,-100.0
53,0.9562766551971436,7,6.916717,6.9114738,0.0052433014,False,-21.847949051607625
54,0.8136873245239258,6,5.676159,5.54234,0.1338191,False,-21.918607981118573
55,1.0826513767242432,8,7.092013,6.518343,0.5736699,False,-9.432556678368883
56,0.5402390956878662,4,6.0637264,5.8399644,0.22376204,False,-23.47654354628881
57,1.595257043838501,12,4.173276,4.1218348,0.051441193,False,-10.459517144559987
58,0.4062957763671875,3,5.949139,5.949139,0.0,False,-33.5
59,0.40813446044921875,3,17.554941,17.554941,0.0,False,-29.44441448624957
60,0.13767766952514648,1,7.784699,7.784699,0.0,False,-100.0
61,1.351360559463501,10,8.09696,8.631768,-0.53480816,False,-16.594376611259566
