# =*= AGENT TRAINING =*=
#
# = TRAINING PARAMETERS =
#  * Agent type: reactive
#  * Dataset used: gibson
#  * Training length: 3000 episodes
#  * Date / hour: 2021-09-06_13:24:32
# = ADDITIONAL PARAMETERS =
#  * reward_method: column
#  * prioritized: True
#  * collisions: True
#
# = EPISODE TRAINING RESULTS

episode,time_taken,actions_taken,initial_goal_distance,final_goal_distance,distance_travelled,successful,average_reward
1,0.006170034408569336,1,6.492003,6.492003,0.0,False,-100.0
2,0.004408359527587891,2,11.070245,11.009443,0.060801506,False,-100.0
3,0.007576704025268555,5,5.5829577,5.832935,-0.24997711,False,-25.071485033900466
4,0.018053054809570312,6,4.4566293,3.9667275,0.48990178,False,-14.05586582635174
5,0.0077440738677978516,5,3.9163117,4.413369,-0.49705744,False,-33.6595077933167
6,0.0024213790893554688,2,8.905899,8.667443,0.23845577,False,-45.0
7,0.005762577056884766,4,4.5490117,4.5490117,0.0,False,-25.60145011689255
8,0.0012319087982177734,1,6.59727,6.59727,0.0,False,-100.0
9,0.0023355484008789062,2,3.6478531,3.6184995,0.029353619,False,-48.65731906890869
10,0.9633162021636963,4,12.146287,12.146287,0.0,False,-25.499070861929397
11,0.12826228141784668,1,3.7630727,3.7630727,0.0,False,-100.0
12,0.2572782039642334,2,5.3584156,5.3584156,0.0,False,-52.66999852759375
13,0.251645565032959,2,4.06841,4.06841,0.0,False,-50.89481498231817
14,0.37842583656311035,3,11.564434,11.634809,-0.07037449,False,-35.66294682188254
15,1.1374597549438477,9,5.2780104,5.215649,0.06236124,False,-13.349374371542114
16,0.8826088905334473,7,11.080929,10.957137,0.123791695,False,-17.52717588050382
17,0.13057899475097656,1,8.646768,8.646768,0.0,False,-100.0
18,0.7597384452819824,6,3.800812,4.083526,-0.28271413,False,-23.317662272105895
19,0.6492941379547119,5,4.2793965,4.7849283,-0.5055318,False,-30.31063575744629
20,0.13352131843566895,1,3.7291245,3.7291245,0.0,False,-100.0
21,0.628868818283081,5,5.170262,5.908737,-0.7384753,False,-55.54975666108923
22,0.5028202533721924,4,2.0249193,2.2600856,-0.23516631,False,-31.678507214011418
23,0.6255145072937012,5,4.1160016,3.6646857,0.45131588,False,-13.518363541189558
24,1.3807759284973145,10,11.340938,11.989798,-0.64886,False,-25.835489654393427
25,0.1262187957763672,1,15.541231,15.541231,0.0,False,-100.0
26,0.1265559196472168,1,4.6620803,4.6620803,0.0,False,-100.0
27,1.255216121673584,10,5.447676,5.764727,-0.31705093,False,-15.351380369926847
28,0.5023195743560791,4,8.238846,8.006557,0.23228836,False,-29.47502306939407
29,0.755925178527832,6,5.3493476,5.465538,-0.11619043,False,-18.85338614618422
30,0.12639164924621582,1,4.1606774,4.074658,0.086019516,False,-100.0
31,0.3784058094024658,3,8.044155,7.685215,0.35894012,False,-63.333333333333336
32,0.6301381587982178,5,8.171027,7.7400436,0.43098354,False,-19.49290711681308
33,0.37832045555114746,3,6.0418897,5.6076226,0.43426704,False,-29.758637324146473
34,0.12809395790100098,1,6.100602,6.100602,0.0,False,-100.0
35,0.37892961502075195,3,4.808661,4.9681277,-0.15946674,False,-26.666666666666668
36,0.12638616561889648,1,19.176147,19.176147,0.0,False,-100.0
37,0.5066633224487305,4,2.1828904,2.1828904,0.0,False,-35.23193254014508
38,0.2524864673614502,2,8.334286,8.334286,0.0,False,-50.220616800784114
39,0.2519419193267822,2,10.760421,10.760421,0.0,False,-45.0
40,0.2510709762573242,2,7.748638,7.748638,0.0,False,-49.42605121896668
41,0.7532413005828857,6,9.698004,9.629845,0.0681591,False,-15.810079424460886
42,1.132868766784668,9,7.137549,6.7459984,0.39155054,False,-13.476757029147015
43,0.1265420913696289,1,12.6807165,12.6807165,0.0,False,-100.0
44,0.25318002700805664,2,10.9214325,11.050624,-0.1291914,False,-56.58456993103027
45,1.1304237842559814,9,5.156345,4.6755524,0.48079252,False,-9.03470627381467
46,0.12686967849731445,1,4.330337,4.330337,0.0,False,-100.0
47,0.504518985748291,4,11.1717615,11.100053,0.07170868,False,-23.336885744094104
48,0.3807063102722168,3,5.693393,5.693393,0.0,False,-37.34449687805924
49,0.3782625198364258,3,6.8223915,6.8492885,-0.026896954,False,-34.31479659043149
50,0.2527151107788086,2,7.22991,7.22991,0.0,False,-50.125
51,0.12699246406555176,1,6.98269,6.98269,0.0,False,-100.0
52,0.25397396087646484,2,10.102402,10.102402,0.0,False,-45.0
53,0.38054919242858887,3,6.916717,6.916717,0.0,False,-33.5
54,0.1278531551361084,1,5.676159,5.547663,0.1284957,False,-100.0
55,0.629291296005249,5,7.092013,6.672312,0.4197011,False,-18.204512378982507
56,0.3779158592224121,3,6.0637264,5.815133,0.24859333,False,-30.083333333333332
57,1.0098326206207275,8,4.173276,4.094977,0.078299046,False,-16.155191619664656
58,0.12805819511413574,1,5.949139,5.901847,0.047292233,False,-100.0
59,0.758249044418335,6,17.554941,17.554941,0.0,False,-12.991483522772151
60,0.2533223628997803,2,7.784699,7.784699,0.0,False,-51.42053890436023
61,0.12712955474853516,1,8.09696,8.09696,0.0,False,-100.0
62,0.7578544616699219,6,4.1652865,3.9413586,0.22392797,False,-14.650384621441106
63,0.6313173770904541,5,9.443188,9.443188,0.0,False,-21.515140733302154
64,0.12769341468811035,1,8.785749,8.785749,0.0,False,-100.0
65,0.12745070457458496,1,10.205991,10.205991,0.0,False,-100.0
66,0.12724518775939941,1,5.2899213,5.2899213,0.0,False,-100.0
67,0.2564730644226074,2,4.809568,4.6303525,0.17921543,False,-45.0
68,0.12803053855895996,1,7.3726683,7.3726683,0.0,False,-100.0
69,1.0071415901184082,8,4.5841513,4.8808727,-0.29672146,False,-19.603143952893078
70,0.5069100856781006,4,4.7362084,4.7362084,0.0,False,-25.1875
71,1.139148235321045,9,7.8708735,7.141806,0.7290673,False,-8.323861330595289
72,0.6353368759155273,5,2.8407898,3.0031302,-0.1623404,False,-31.528737419316563
73,0.12904667854309082,1,3.1230552,2.9983764,0.12467885,False,-100.0
74,0.12736010551452637,1,8.378572,8.357062,0.021510124,False,-100.0
75,0.25444865226745605,2,5.2141867,5.0081363,0.2060504,False,-45.0
76,0.3798551559448242,3,3.4187787,3.2296443,0.18913436,False,-28.634304033758724
77,0.25558972358703613,2,10.7085085,10.673319,0.03518963,False,-48.22718656132133
78,1.0218491554260254,8,4.556443,4.8365917,-0.2801485,False,-37.14602328012042
79,0.2546579837799072,2,1.4633374,1.4209588,0.042378664,False,-45.0
80,0.12811923027038574,1,7.6374173,7.6374173,0.0,False,-100.0
81,0.1286025047302246,1,6.1165247,6.1165247,0.0,False,-100.0
82,0.7636620998382568,6,9.352776,8.933933,0.41884232,False,-35.02678616664438
83,0.3809010982513428,3,4.027191,4.027191,0.0,False,-33.07121766818309
84,0.1283857822418213,1,12.667044,12.667044,0.0,False,-100.0
85,0.6371591091156006,5,1.3308748,1.3660673,-0.03519249,False,-27.7407663289441
86,0.6373350620269775,5,6.7674384,6.970297,-0.20285845,False,-39.35134111042869
87,0.6336910724639893,5,3.1729145,2.5104463,0.6624682,False,-14.611904698328681
88,0.2540113925933838,2,3.9713545,3.9713545,0.0,False,-50.125
89,1.1464853286743164,9,5.1850705,5.2149577,-0.0298872,False,-32.721170014256664
90,0.5096583366394043,4,3.1845565,3.3208523,-0.1362958,False,-29.92123602497267
91,0.38013267517089844,3,9.472212,9.242296,0.22991562,False,-30.083333333333332
92,0.12839388847351074,1,6.8486795,6.8486795,0.0,False,-100.0
93,0.12844157218933105,1,6.1691513,6.1691513,0.0,False,-100.0
94,0.255678653717041,2,4.960373,4.960373,0.0,False,-55.65120762727105
95,0.12822842597961426,1,15.082639,15.082639,0.0,False,-100.0
96,0.8941686153411865,7,7.1203203,7.290491,-0.17017078,False,-18.967324005848486
97,0.38327836990356445,3,5.7014465,5.8223453,-0.12089872,False,-37.73155807347882
98,0.5111467838287354,4,15.098875,15.255011,-0.15613556,False,-22.625
99,0.8901739120483398,7,9.884337,9.641777,0.24256039,False,-13.203691924531004
100,0.12926077842712402,1,5.8171706,5.8318505,-0.014679909,False,-100.0
101,0.5062811374664307,4,6.3351736,6.3351736,0.0,False,-24.522954426486933
102,0.1295785903930664,1,12.996966,12.778585,0.21838093,False,-100.0
103,0.12833690643310547,1,10.752146,10.90654,-0.15439415,False,-100.0
104,0.8923780918121338,7,11.617053,11.35662,0.2604332,False,-12.37416683646552
105,0.2568042278289795,2,8.459419,8.380302,0.07911682,False,-52.10818202828409
106,0.25560975074768066,2,5.173234,5.3400226,-0.16678858,False,-45.0
107,1.287794589996338,10,5.836629,5.853944,-0.01731491,False,-27.41590960187899
108,1.1534852981567383,9,7.0505147,7.0505147,0.0,False,-10.194444444444445
109,0.5155422687530518,4,9.205918,9.556723,-0.35080433,False,-56.818134193772664
110,1.1600100994110107,9,8.268135,8.382892,-0.114756584,False,-20.507411357490255
111,0.12936162948608398,1,7.4453716,7.4453716,0.0,False,-100.0
112,0.3868546485900879,3,14.961016,14.961016,0.0,False,-33.5
113,0.5158295631408691,4,4.1792736,4.306735,-0.12746143,False,-50.6138922225675
114,0.38784265518188477,3,9.195676,9.195676,0.0,False,-34.06968982145539
115,0.9057309627532959,7,3.3038,3.1022034,0.20159674,False,-26.055953501708625
116,0.2582719326019287,2,9.117391,9.117391,0.0,False,-52.86709916568833
117,0.13141655921936035,1,2.9590309,2.9590309,0.0,False,-100.0
118,0.3864312171936035,3,6.544416,6.409539,0.13487673,False,-29.282569965127056
119,0.2590498924255371,2,11.530712,11.530712,0.0,False,-51.92737512759663
120,0.38751769065856934,3,3.2975194,3.2975194,0.0,False,-32.055485898003234
121,0.518578052520752,4,3.5895443,3.9815238,-0.39197946,False,-46.72060936266311
122,0.7752234935760498,6,9.405645,9.405645,0.0,False,-17.58621271036971
123,0.7777590751647949,6,4.8627906,4.643483,0.21930742,False,-14.07562365179526
124,0.12976694107055664,1,8.804794,8.804794,0.0,False,-100.0
125,0.13085198402404785,1,4.470421,4.5207214,-0.0503006,False,-100.0
126,0.13051772117614746,1,4.6608324,4.6608324,0.0,False,-100.0
127,0.26157212257385254,2,7.6305466,7.6305466,0.0,False,-49.83985459395154
128,0.26458215713500977,2,11.831421,11.831421,0.0,False,-45.0
129,0.7734904289245605,6,8.44275,8.939367,-0.49661732,False,-26.579937032081983
130,0.25965213775634766,2,14.511024,14.297962,0.21306229,False,-45.0
131,0.7765426635742188,6,4.1918726,3.9970686,0.19480395,False,-14.725505154531987
132,0.390850305557251,3,4.2980003,4.071249,0.22675133,False,-63.22381994522641
133,0.39165306091308594,3,4.4863734,4.4863734,0.0,False,-33.46864760152598
134,0.38842034339904785,3,8.943178,8.943178,0.0,False,-33.5
135,0.39007043838500977,3,4.420404,4.6703563,-0.24995232,False,-55.66109057947866
136,0.5180387496948242,4,7.395788,7.395788,0.0,False,-24.537087233426405
137,0.6487557888031006,5,5.7811837,5.977994,-0.19681025,False,-24.13620491027832
