# =*= AGENT TRAINING =*=
#
# = TRAINING PARAMETERS =
#  * Agent type: reactive
#  * Dataset used: gibson
#  * Training length: 3000 episodes
#  * Date / hour: 2021-09-05_11:24:59
# = ADDITIONAL PARAMETERS =
#  * reward_method: column
#  * prioritized: True
#  * collisions: False
#
# = EPISODE TRAINING RESULTS

episode,time_taken,actions_taken,initial_goal_distance,final_goal_distance,distance_travelled,successful,average_reward
1,0.006121158599853516,1,6.492003,6.492003,0.0,False,-100.0
2,0.012598991394042969,7,11.070245,10.958154,0.112091064,False,-27.61690622276881
3,0.009742021560668945,6,5.5829577,6.075319,-0.49236107,False,-29.576891534688286
4,0.008453369140625,5,4.4566293,3.958549,0.49808025,False,-15.218573518476308
5,0.0029261112213134766,2,3.9163117,4.1662707,-0.24995899,False,-65.59455639490471
6,0.004450321197509766,4,8.905899,8.905899,0.0,False,-25.1875
7,0.001260995864868164,1,4.5490117,4.5490117,0.0,False,-100.0
8,0.004018068313598633,2,6.59727,6.4162183,0.18105173,False,-45.0
9,0.14170217514038086,4,3.6478531,3.6478531,0.0,False,-25.307489248963293
10,0.13627910614013672,1,12.146287,12.146287,0.0,False,-100.0
11,0.267437219619751,2,3.7630727,3.7630727,0.0,False,-45.0
12,0.25847530364990234,2,5.3584156,5.3584156,0.0,False,-48.109506674598094
13,1.5339665412902832,12,4.06841,4.02991,0.038499832,False,-8.491092686064533
14,1.0166079998016357,8,11.564434,11.548529,0.01590538,False,-20.62097492717328
15,1.4045000076293945,11,5.2780104,5.99418,-0.71616983,False,-40.50121269603862
16,0.1289825439453125,1,11.080929,11.080929,0.0,False,-100.0
17,0.6383445262908936,5,8.646768,8.287806,0.35896206,False,-22.790229540130735
18,0.5111026763916016,4,3.800812,3.9042728,-0.10346079,False,-30.404062154468903
19,0.6364731788635254,5,4.2793965,4.5750594,-0.29566288,False,-26.113257598876952
20,1.2778573036193848,10,3.7291245,3.1454115,0.58371305,False,-26.61086959668605
21,0.12953662872314453,1,5.170262,5.170262,0.0,False,-100.0
22,0.12835216522216797,1,2.0249193,2.0249193,0.0,False,-100.0
23,1.2670338153839111,10,4.1160016,3.7229311,0.39307046,False,-8.68773762038614
24,0.5101525783538818,4,11.340938,11.507162,-0.16622448,False,-31.69594273515827
25,1.9172265529632568,15,15.541231,15.984444,-0.4432125,False,-24.554557798795212
26,0.5115389823913574,4,4.6620803,4.397123,0.26495743,False,-52.802465273317125
27,0.5088510513305664,4,5.447676,5.51409,-0.06641388,False,-24.070464718953957
28,0.5109586715698242,4,8.238846,8.238846,0.0,False,-24.426125152063804
29,0.256486177444458,2,5.3493476,5.3493476,0.0,False,-45.0
30,0.25569605827331543,2,4.1606774,4.1606774,0.0,False,-58.643048710493815
31,0.2560617923736572,2,8.044155,8.044155,0.0,False,-45.0
32,0.7680325508117676,6,8.171027,7.5600305,0.6109967,False,-33.60877711015962
33,1.152496337890625,9,6.0418897,5.7457075,0.29618216,False,-9.2552326348926
34,0.12867259979248047,1,6.100602,6.100602,0.0,False,-100.0
35,0.25644731521606445,2,4.808661,4.907517,-0.09885597,False,-52.32879298310638
36,1.1520507335662842,9,19.176147,19.404703,-0.22855568,False,-33.00004417010089
37,0.12891054153442383,1,2.1828904,2.1828904,0.0,False,-100.0
38,0.509770393371582,4,8.334286,8.195436,0.13885021,False,-22.496246566666997
39,0.384641170501709,3,10.760421,10.760421,0.0,False,-39.26241594515901
40,0.38442158699035645,3,7.748638,7.4987946,0.2498436,False,-29.617367479311117
41,0.25544214248657227,2,9.698004,9.698004,0.0,False,-49.98871905254373
42,0.1292562484741211,1,7.137549,7.137549,0.0,False,-100.0
43,0.2575042247772217,2,12.6807165,12.6807165,0.0,False,-51.04405047875139
44,0.38423705101013184,3,10.9214325,11.050624,-0.1291914,False,-37.80637995402018
45,1.154017686843872,9,5.156345,4.496989,0.6593561,False,-8.226190027457884
46,1.0252714157104492,8,4.330337,4.8005614,-0.47022438,False,-22.416598322912364
47,0.8928382396697998,7,11.1717615,11.022116,0.1496458,False,-12.6018686798304
48,0.2568931579589844,2,5.693393,5.693393,0.0,False,-53.25969499259622
49,0.12921500205993652,1,6.8223915,6.8223915,0.0,False,-100.0
50,0.7681772708892822,6,7.22991,6.870613,0.3592968,False,-13.458333333333334
51,0.6405191421508789,5,6.98269,6.98269,0.0,False,-21.147424199844316
52,0.13343548774719238,1,10.102402,10.102402,0.0,False,-100.0
53,0.12984466552734375,1,6.916717,6.916717,0.0,False,-100.0
54,0.13073468208312988,1,5.676159,5.676159,0.0,False,-100.0
55,0.25844621658325195,2,7.092013,6.8518953,0.24011755,False,-45.0
56,0.13057327270507812,1,6.0637264,6.0637264,0.0,False,-100.0
57,1.039247989654541,8,4.173276,4.164324,0.008952141,False,-23.162296396223866
58,0.5076372623443604,4,5.949139,5.949139,0.0,False,-26.668109043425915
59,1.1475400924682617,9,17.554941,17.508657,0.046283722,False,-13.85171196301346
60,0.6476871967315674,5,7.784699,7.6797333,0.10496569,False,-18.670851127490256
61,0.5230777263641357,4,8.09696,8.353341,-0.25638103,False,-35.85020327423544
62,0.383289098739624,3,4.1652865,3.951393,0.21389365,False,-29.83760915250131
63,0.2552785873413086,2,9.443188,9.558742,-0.115553856,False,-58.50294244618084
64,1.4051320552825928,11,8.785749,8.303926,0.48182297,False,-10.94654765917187
65,0.12920379638671875,1,10.205991,10.205991,0.0,False,-100.0
66,0.7671041488647461,6,5.2899213,5.7451153,-0.455194,False,-26.139816830342
67,0.3812525272369385,3,4.809568,4.809568,0.0,False,-32.635186894802224
68,0.129439115524292,1,7.3726683,7.3726683,0.0,False,-100.0
69,0.6366686820983887,5,4.5841513,4.686834,-0.10268259,False,-20.71018818507239
70,0.6370735168457031,5,4.7362084,4.2677107,0.46849775,False,-16.1
71,0.8987889289855957,7,7.8708735,7.160913,0.70996046,False,-10.899055643387523
72,0.5201809406280518,4,2.8407898,3.1104941,-0.26970434,False,-53.80774086052523
73,1.1524312496185303,9,3.1230552,2.9495711,0.17348409,False,-27.896428329358287
74,0.38271450996398926,3,8.378572,8.323763,0.05480957,False,-31.673014322916668
75,0.1293036937713623,1,5.2141867,5.2141867,0.0,False,-100.0
76,0.1284654140472412,1,3.4187787,3.4187787,0.0,False,-100.0
77,0.2553415298461914,2,10.7085085,10.7085085,0.0,False,-51.689755083952605
78,0.12897276878356934,1,4.556443,4.556443,0.0,False,-100.0
79,0.8985927104949951,7,1.4633374,1.4192436,0.044093847,False,-18.60876843303202
80,0.383044958114624,3,7.6374173,7.514771,0.12264633,False,-30.31631626034444
81,1.4058723449707031,11,6.1165247,6.455914,-0.33938932,False,-14.595051274405943
82,0.6419494152069092,5,9.352776,9.113903,0.23887253,False,-28.022677781459812
83,1.1548926830291748,9,4.027191,4.981616,-0.95442486,False,-43.052778928369115
84,1.7931451797485352,14,12.667044,13.36467,-0.6976261,False,-23.957059994030082
85,1.1570870876312256,9,1.3308748,1.3308748,0.0,False,-12.315294562084135
86,0.5150995254516602,4,6.7674384,6.849795,-0.08235645,False,-41.8583278788914
87,1.174006700515747,9,3.1729145,2.6843235,0.48859096,False,-8.885427558109724
88,0.13518786430358887,1,3.9713545,3.9713545,0.0,False,-100.0
89,0.3998246192932129,3,5.1850705,5.1850705,0.0,False,-33.5
90,0.5175037384033203,4,3.1845565,3.3208523,-0.1362958,False,-29.92123602497267
91,0.38815784454345703,3,9.472212,9.472212,0.0,False,-33.5
92,0.9071776866912842,7,6.8486795,7.150169,-0.30148935,False,-18.806990759713308
93,0.2618529796600342,2,6.1691513,6.1691513,0.0,False,-50.239237889212404
94,0.13073396682739258,1,4.960373,4.960373,0.0,False,-100.0
95,0.3891468048095703,3,15.082639,15.075275,0.0073633194,False,-75.49963480009183
96,0.26435041427612305,2,7.1203203,7.1203203,0.0,False,-48.29830280536805
97,0.39042091369628906,3,5.7014465,5.7014465,0.0,False,-33.38497058697718
98,1.3066952228546143,10,15.098875,15.255011,-0.15613556,False,-26.71907962107473
99,0.7786228656768799,6,9.884337,9.644472,0.2398653,False,-15.166666666666666
100,0.13077092170715332,1,5.8171706,5.8171706,0.0,False,-100.0
101,0.2612943649291992,2,6.3351736,6.5375476,-0.20237398,False,-59.26408231728203
102,0.26454854011535645,2,12.996966,12.996966,0.0,False,-45.0
103,0.13189339637756348,1,10.752146,10.752146,0.0,False,-100.0
104,0.780128002166748,6,11.617053,11.224785,0.39226818,False,-12.832346440115316
105,0.26195240020751953,2,8.459419,8.380302,0.07911682,False,-73.01366343892084
106,0.7885737419128418,6,5.173234,5.318508,-0.14527416,False,-55.43553222700276
107,0.39224696159362793,3,5.836629,5.733309,0.10332012,False,-36.45718464493041
108,0.3927953243255615,3,7.0505147,7.0505147,0.0,False,-46.804935628579415
109,0.39513444900512695,3,9.205918,9.205918,0.0,False,-33.58373549270849
110,0.39261698722839355,3,8.268135,8.34282,-0.0746851,False,-48.06869129540962
111,0.5226435661315918,4,7.4453716,7.6582484,-0.2128768,False,-52.26756269321544
112,0.6560595035552979,5,14.961016,14.897948,0.063067436,False,-40.17127530902644
113,0.9166102409362793,7,4.1792736,4.2264137,-0.04714012,False,-28.29200066134742
114,0.5177004337310791,4,9.195676,8.70818,0.48749542,False,-19.84797161417589
115,0.13126468658447266,1,3.3038,3.3038,0.0,False,-100.0
116,0.13087153434753418,1,9.117391,9.117391,0.0,False,-100.0
117,0.39074015617370605,3,2.9590309,3.0018346,-0.042803764,False,-34.26514482158359
118,0.13149237632751465,1,6.544416,6.544416,0.0,False,-100.0
119,0.7826082706451416,6,11.530712,11.530712,0.0,False,-17.475791709198877
120,0.2634620666503906,2,3.2975194,3.2975194,0.0,False,-50.187862269882515
121,0.7840993404388428,6,3.5895443,3.8942459,-0.30470157,False,-53.311649655900375
122,0.6565008163452148,5,9.405645,9.555075,-0.14942932,False,-24.59143331929922
123,0.5281548500061035,4,4.8627906,4.734963,0.12782764,False,-24.940229255405953
124,0.1322343349456787,1,8.804794,8.804794,0.0,False,-100.0
125,0.26232147216796875,2,4.470421,4.470421,0.0,False,-49.93171978824864
126,0.13287901878356934,1,4.6608324,4.6608324,0.0,False,-100.0
127,2.492478609085083,19,7.6305466,7.4068804,0.22366619,False,-18.239101070189665
128,0.2623739242553711,2,11.831421,11.831421,0.0,False,-68.1544318663789
129,0.26953649520874023,2,8.44275,8.69101,-0.2482605,False,-62.898432105169604
130,2.494479179382324,19,14.511024,13.4647255,1.046299,False,-2.8109026424139016
131,0.5259582996368408,4,4.1918726,3.9544766,0.237396,False,-22.874043364641864
132,0.3959519863128662,3,4.2980003,4.0560956,0.24190474,False,-72.55165363032863
