# =*= AGENT TRAINING =*=
#
# = TRAINING PARAMETERS =
#  * Agent type: reactive
#  * Dataset used: gibson
#  * Training length: 3000 episodes
#  * Date / hour: 2021-09-04_23:17:28
# = ADDITIONAL PARAMETERS =
#  * reward_method: contour
#  * prioritized: True
#  * collisions: True
#
# = EPISODE TRAINING RESULTS

episode,time_taken,actions_taken,initial_goal_distance,final_goal_distance,distance_travelled,successful,average_reward
1,0.00518798828125,1,6.492003,6.492003,0.0,False,-100.0
2,0.0029103755950927734,2,11.070245,11.009443,0.060801506,False,-73.0923817660746
3,0.00664973258972168,5,5.5829577,5.832935,-0.24997711,False,-25.482831387046144
4,0.008938789367675781,6,4.4566293,3.9667275,0.48990178,False,-13.243327792147
5,0.009079217910766602,5,3.9163117,4.413369,-0.49705744,False,-32.586903133809855
6,0.0022859573364257812,2,8.905899,8.667443,0.23845577,False,-45.0
7,0.004903316497802734,4,4.5490117,4.5490117,0.0,False,-25.481460867929258
8,0.0012447834014892578,1,6.59727,6.59727,0.0,False,-100.0
9,0.002163410186767578,2,3.6478531,3.6184995,0.029353619,False,-48.65731906890869
10,0.3066279888153076,4,12.146287,12.146287,0.0,False,-25.277631837641536
11,0.1284334659576416,1,3.7630727,3.7630727,0.0,False,-100.0
12,0.25629496574401855,2,5.3584156,5.3584156,0.0,False,-50.125
13,0.24675512313842773,2,4.06841,4.06841,0.0,False,-50.42954603995062
14,0.37011122703552246,3,11.564434,11.634809,-0.07037449,False,-33.5
15,1.1169061660766602,9,5.2780104,5.215649,0.06236124,False,-11.163670216347226
16,0.8220953941345215,7,11.080929,10.957137,0.123791695,False,-14.5
17,0.11878347396850586,1,8.646768,8.646768,0.0,False,-100.0
18,0.7040283679962158,6,3.800812,4.083526,-0.28271413,False,-19.41069871677475
19,0.5894355773925781,5,4.2793965,4.7849283,-0.5055318,False,-30.31063575744629
20,0.11838293075561523,1,3.7291245,3.7291245,0.0,False,-100.0
21,0.5888488292694092,5,5.170262,5.908737,-0.7384753,False,-42.1554138634805
22,0.48093509674072266,4,2.0249193,2.2600856,-0.23516631,False,-31.43946613209235
23,0.6206326484680176,5,4.1160016,3.6646857,0.45131588,False,-13.518363541189558
24,1.2441952228546143,10,11.340938,11.769474,-0.42853642,False,-15.794888205196049
25,0.12605953216552734,1,15.541231,15.541231,0.0,False,-100.0
26,0.12638640403747559,1,4.6620803,4.6620803,0.0,False,-100.0
27,1.2435245513916016,10,5.447676,5.764727,-0.31705093,False,-14.239808499664639
28,0.4965052604675293,4,8.238846,8.006557,0.23228836,False,-22.625
29,0.7446331977844238,6,5.3493476,5.465538,-0.11619043,False,-15.086673834024472
30,0.12504291534423828,1,4.1606774,4.074658,0.086019516,False,-100.0
31,0.3729970455169678,3,8.044155,7.685215,0.35894012,False,-32.976118465382605
32,0.6248905658721924,5,8.171027,7.7400436,0.43098354,False,-14.384319598819365
33,0.374406099319458,3,6.0418897,5.6076226,0.43426704,False,-30.083333333333332
34,0.12635111808776855,1,6.100602,6.100602,0.0,False,-100.0
35,0.3753688335418701,3,4.808661,4.9681277,-0.15946674,False,-33.5
36,0.12669706344604492,1,19.176147,19.176147,0.0,False,-100.0
37,0.49565982818603516,4,2.1828904,2.1828904,0.0,False,-27.031865095759443
38,0.24843883514404297,2,8.334286,8.334286,0.0,False,-50.87591730806827
39,0.24887537956237793,2,10.760421,10.760421,0.0,False,-50.125
40,0.2511940002441406,2,7.748638,7.748638,0.0,False,-49.56233216642295
41,0.7442998886108398,6,9.698004,9.629845,0.0681591,False,-15.810079424460886
42,1.117912769317627,9,7.137549,6.7459984,0.39155054,False,-9.480412448535251
