# =*= AGENT TRAINING =*=
#
# = TRAINING PARAMETERS =
#  * Agent type: reactive
#  * Dataset used: gibson
#  * Training length: 3000 episodes
#  * Date / hour: 2021-09-04_15:03:48
# = ADDITIONAL PARAMETERS =
#  * reward_method: contour
#  * prioritized: True
#  * collisions: False
#
# = EPISODE TRAINING RESULTS

episode,time_taken,actions_taken,initial_goal_distance,final_goal_distance,distance_travelled,successful,average_reward
1,0.007071495056152344,1,6.492003,6.492003,0.0,False,-100.0
2,0.01039266586303711,7,11.070245,10.958154,0.112091064,False,-18.141426441395197
3,0.009614944458007812,6,5.5829577,6.075319,-0.49236107,False,-26.28839925930879
4,0.008305549621582031,5,4.4566293,3.958549,0.49808025,False,-15.841993350576399
5,0.003275156021118164,2,3.9163117,4.1662707,-0.24995899,False,-65.98136324078703
6,0.0040743350982666016,4,8.905899,8.905899,0.0,False,-25.1875
7,0.001260519027709961,1,4.5490117,4.5490117,0.0,False,-100.0
8,0.003101825714111328,2,6.59727,6.4162183,0.18105173,False,-45.0
9,0.8111426830291748,4,3.6478531,3.6478531,0.0,False,-25.307489248963293
10,0.1319742202758789,1,12.146287,12.146287,0.0,False,-100.0
11,0.250560998916626,2,3.7630727,3.7630727,0.0,False,-46.18551980301319
12,0.25624752044677734,2,5.3584156,5.3584156,0.0,False,-48.98861684998633
13,1.495013952255249,12,4.06841,4.02991,0.038499832,False,-8.273173761029875
14,0.9991283416748047,8,11.564434,11.548529,0.01590538,False,-11.238682746887207
15,1.3710758686065674,11,5.2780104,5.99418,-0.71616983,False,-23.81402829864237
16,0.1259901523590088,1,11.080929,11.080929,0.0,False,-100.0
17,0.6246261596679688,5,8.646768,8.287806,0.35896206,False,-18.322210892008137
18,0.49988293647766113,4,3.800812,3.9042728,-0.10346079,False,-27.61824904472485
19,0.6278748512268066,5,4.2793965,4.5750594,-0.29566288,False,-26.113257598876952
20,1.3277018070220947,10,3.7291245,3.1454115,0.58371305,False,-8.416316286934068
21,0.12570452690124512,1,5.170262,5.170262,0.0,False,-100.0
22,0.12582755088806152,1,2.0249193,2.0249193,0.0,False,-100.0
23,1.2581532001495361,10,4.1160016,3.7229311,0.39307046,False,-8.030093861032402
24,0.5071001052856445,4,11.340938,11.507162,-0.16622448,False,-29.598468346782738
25,1.8941807746887207,15,15.541231,15.984444,-0.4432125,False,-13.050607822909418
26,0.5044050216674805,4,4.6620803,4.397123,0.26495743,False,-25.452556609359917
27,0.5025632381439209,4,5.447676,5.51409,-0.06641388,False,-26.10322575630775
28,0.5038089752197266,4,8.238846,8.238846,0.0,False,-22.760880959776387
29,0.2524902820587158,2,5.3493476,5.3493476,0.0,False,-50.02130244952974
30,0.25226759910583496,2,4.1606774,4.1606774,0.0,False,-50.125
31,0.25208401679992676,2,8.044155,8.044155,0.0,False,-50.125
32,0.7556872367858887,6,8.171027,7.5600305,0.6109967,False,-14.276058989617601
33,1.132065773010254,9,6.0418897,5.7457075,0.29618216,False,-9.104913923475477
34,0.12713098526000977,1,6.100602,6.100602,0.0,False,-100.0
35,0.2521846294403076,2,4.808661,4.907517,-0.09885597,False,-55.06779861450195
36,1.1361544132232666,9,19.176147,19.404703,-0.22855568,False,-18.245945413851864
37,0.12622451782226562,1,2.1828904,2.1828904,0.0,False,-100.0
38,0.5018346309661865,4,8.334286,8.195436,0.13885021,False,-22.571125983942864
39,0.37729978561401367,3,10.760421,10.760421,0.0,False,-30.264507946368514
40,0.3770434856414795,3,7.748638,7.4987946,0.2498436,False,-29.708221444281964
41,0.25084567070007324,2,9.698004,9.698004,0.0,False,-49.98871905254373
42,0.12650585174560547,1,7.137549,7.137549,0.0,False,-100.0
43,0.2521226406097412,2,12.6807165,12.6807165,0.0,False,-48.98861684998633
44,0.37758398056030273,3,10.9214325,10.9214325,0.0,False,-33.5
45,1.1328775882720947,9,5.156345,4.2909803,0.86536455,False,-6.890540129862207
46,1.0038838386535645,8,4.330337,4.8005614,-0.47022438,False,-19.390188566705
47,0.8793332576751709,7,11.1717615,11.022116,0.1496458,False,-12.734802663363975
48,0.2532997131347656,2,5.693393,5.693393,0.0,False,-50.125
49,0.12823796272277832,1,6.8223915,6.8223915,0.0,False,-100.0
50,0.7510969638824463,6,7.22991,6.870613,0.3592968,False,-13.458333333333334
51,0.6300239562988281,5,6.98269,6.98269,0.0,False,-20.327411690957
52,0.1267251968383789,1,10.102402,10.102402,0.0,False,-100.0
53,0.128770112991333,1,6.916717,6.916717,0.0,False,-100.0
54,0.12915897369384766,1,5.676159,5.676159,0.0,False,-100.0
55,0.2528526782989502,2,7.092013,6.8518953,0.24011755,False,-45.0
56,0.1267845630645752,1,6.0637264,6.0637264,0.0,False,-100.0
57,1.0074608325958252,8,4.173276,4.164324,0.008952141,False,-16.095388864575575
58,0.5050199031829834,4,5.949139,5.949139,0.0,False,-25.1875
59,1.1370553970336914,9,17.554941,17.508657,0.046283722,False,-12.587277540885704
60,0.6298611164093018,5,7.784699,7.6797333,0.10496569,False,-17.68950120814775
61,0.5055866241455078,4,8.09696,8.353341,-0.25638103,False,-32.891660879144524
62,0.3818633556365967,3,4.1652865,3.741979,0.42330766,False,-26.666666666666668
63,0.25429272651672363,2,9.443188,9.558742,-0.115553856,False,-57.075755822403266
64,1.3922886848449707,11,8.785749,8.303926,0.48182297,False,-6.3654240780679485
65,0.1273195743560791,1,10.205991,10.205991,0.0,False,-100.0
66,0.7581121921539307,6,5.2899213,5.7451153,-0.455194,False,-24.390502126137278
67,0.37911486625671387,3,4.809568,4.809568,0.0,False,-32.72604085977309
68,0.12765026092529297,1,7.3726683,7.3726683,0.0,False,-100.0
69,0.6352670192718506,5,4.5841513,4.686834,-0.10268259,False,-21.17748811802045
70,0.6310582160949707,5,4.7362084,4.2677107,0.46849775,False,-16.1
71,0.8879811763763428,7,7.8708735,7.160913,0.70996046,False,-10.640872620973466
72,0.5073559284210205,4,2.8407898,3.1104941,-0.26970434,False,-35.55980585949243
73,1.1429321765899658,9,3.1230552,2.9495711,0.17348409,False,-14.255016612419164
74,0.378969669342041,3,8.378572,8.323763,0.05480957,False,-31.673014322916668
75,0.1275014877319336,1,5.2141867,5.2141867,0.0,False,-100.0
76,0.12791228294372559,1,3.4187787,3.4187787,0.0,False,-100.0
77,0.2553277015686035,2,10.7085085,10.7085085,0.0,False,-50.97169442218785
78,0.12763452529907227,1,4.556443,4.556443,0.0,False,-100.0
79,0.889380693435669,7,1.4633374,1.4192436,0.044093847,False,-15.861242387026063
80,0.38099169731140137,3,7.6374173,7.514771,0.12264633,False,-30.31631626034444
81,1.4086940288543701,11,6.1165247,6.455914,-0.33938932,False,-12.962421847525237
82,0.6409144401550293,5,9.352776,9.113903,0.23887253,False,-18.15
83,1.1505191326141357,9,4.027191,4.981616,-0.95442486,False,-27.2686522964553
84,1.792473316192627,14,12.667044,13.36467,-0.6976261,False,-17.076720113369966
85,1.155320405960083,9,1.3308748,1.3308748,0.0,False,-11.333333333333334
86,0.5157341957092285,4,6.7674384,6.849795,-0.08235645,False,-31.62177302011429
87,1.152958631515503,9,3.1729145,2.6843235,0.48859096,False,-9.055555555555555
88,0.13081884384155273,1,3.9713545,3.9713545,0.0,False,-100.0
89,0.38507723808288574,3,5.1850705,5.1850705,0.0,False,-33.5
90,0.5131287574768066,4,3.1845565,3.3208523,-0.1362958,False,-28.964339910626805
91,0.38545799255371094,3,9.472212,9.472212,0.0,False,-33.5
92,0.8975863456726074,7,6.8486795,7.150169,-0.30148935,False,-18.806990759713308
93,0.2584347724914551,2,6.1691513,6.1691513,0.0,False,-49.776583888031155
94,0.1294567584991455,1,4.960373,4.960373,0.0,False,-100.0
95,0.3865032196044922,3,15.082639,15.075275,0.0073633194,False,-44.47347960177967
96,0.25789761543273926,2,7.1203203,7.1203203,0.0,False,-50.47520102512647
97,0.38548851013183594,3,5.7014465,5.7014465,0.0,False,-30.416614539972898
98,1.29164457321167,10,15.098875,15.255011,-0.15613556,False,-23.684423637662302
99,0.7721152305603027,6,9.884337,9.644472,0.2398653,False,-15.166666666666666
100,0.12935686111450195,1,5.8171706,5.8171706,0.0,False,-100.0
101,0.2553987503051758,2,6.3351736,6.5375476,-0.20237398,False,-59.26408231728203
102,0.2653388977050781,2,12.996966,12.996966,0.0,False,-51.12871661925294
103,0.1297452449798584,1,10.752146,10.752146,0.0,False,-100.0
104,0.7716217041015625,6,11.617053,11.224785,0.39226818,False,-13.231997180488596
105,0.2579324245452881,2,8.459419,8.380302,0.07911682,False,-46.169158935546875
106,0.7748727798461914,6,5.173234,5.318508,-0.14527416,False,-22.19008966411771
107,0.3860180377960205,3,5.836629,5.733309,0.10332012,False,-31.564742648741497
108,0.3914980888366699,3,7.0505147,7.0505147,0.0,False,-36.030383580847
109,0.38790082931518555,3,9.205918,9.205918,0.0,False,-33.5
110,0.3886911869049072,3,8.268135,8.34282,-0.0746851,False,-37.39899152405852
111,0.5165600776672363,4,7.4453716,7.4453716,0.0,False,-23.189418158567776
112,0.6449785232543945,5,14.961016,14.897948,0.063067436,False,-23.26567539570351
113,0.9059631824493408,7,4.1792736,4.2264137,-0.04714012,False,-19.08403900585028
114,0.5187501907348633,4,9.195676,8.70818,0.48749542,False,-19.86693813598893
115,0.13126778602600098,1,3.3038,3.3038,0.0,False,-100.0
116,0.13062453269958496,1,9.117391,9.117391,0.0,False,-100.0
117,0.3907027244567871,3,2.9590309,3.0018346,-0.042803764,False,-36.49651080671581
118,0.13064050674438477,1,6.544416,6.544416,0.0,False,-100.0
119,0.7745933532714844,6,11.530712,11.530712,0.0,False,-16.96370001960861
120,0.26120591163635254,2,3.2975194,3.2975194,0.0,False,-51.29571322971856
