# =*= AGENT TRAINING =*=
#
# = TRAINING PARAMETERS =
#  * Agent type: reactive
#  * Dataset used: gibson
#  * Training length: 15000 episodes
#  * Date / hour: 2021-08-29_21:55:08
# = ADDITIONAL PARAMETERS =
#  * reward_method: contour
#  * prioritized: False
#  * collisions: True
#
# = EPISODE TRAINING RESULTS

episode,time_taken,actions_taken,initial_goal_distance,final_goal_distance,distance_travelled,successful,average_reward
1,0.006898164749145508,1,6.492003,6.492003,0.0,False,-100.0
2,0.004048585891723633,2,11.070245,11.009443,0.060801506,False,-73.0923817660746
3,0.006960630416870117,5,5.5829577,5.832935,-0.24997711,False,-25.482831387046144
4,0.010251998901367188,6,4.4566293,3.9667275,0.48990178,False,-13.243327792147
5,0.008542060852050781,5,3.9163117,4.413369,-0.49705744,False,-32.586903133809855
6,0.0021584033966064453,2,8.905899,8.667443,0.23845577,False,-45.0
7,0.004811525344848633,4,4.5490117,4.5490117,0.0,False,-25.481460867929258
8,0.0012309551239013672,1,6.59727,6.59727,0.0,False,-100.0
9,0.0032575130462646484,2,3.6478531,3.6184995,0.029353619,False,-48.65731906890869
10,0.0056416988372802734,4,12.146287,12.146287,0.0,False,-25.277631837641536
11,0.0012621879577636719,1,3.7630727,3.7630727,0.0,False,-100.0
12,0.0026857852935791016,2,5.3584156,5.3584156,0.0,False,-50.125
13,0.0024628639221191406,2,4.06841,4.06841,0.0,False,-50.42954603995062
14,0.004135608673095703,3,11.564434,11.634809,-0.07037449,False,-33.5
15,0.013516902923583984,9,5.2780104,5.215649,0.06236124,False,-11.163670216347226
16,0.0101470947265625,7,11.080929,10.957137,0.123791695,False,-14.5
17,0.002542734146118164,1,8.646768,8.646768,0.0,False,-100.0
18,0.010483503341674805,6,3.800812,4.083526,-0.28271413,False,-19.41069871677475
19,1.7473669052124023,9,4.2793965,4.4704576,-0.19106102,False,-13.464663119666461
20,0.414217472076416,3,3.7291245,3.4304664,0.29865813,False,-26.666666666666668
21,1.8967103958129883,14,5.170262,6.090799,-0.920537,False,-16.419666370199042
22,0.5433168411254883,4,2.0249193,2.2708247,-0.2459054,False,-31.192307004318593
23,0.136932373046875,1,4.1160016,4.1160016,0.0,False,-100.0
24,0.13741207122802734,1,11.340938,11.340938,0.0,False,-100.0
25,0.27936673164367676,2,15.541231,15.541231,0.0,False,-48.96197369182801
26,0.8317086696624756,6,4.6620803,4.6620803,0.0,False,-16.314552359260393
27,0.13775062561035156,1,5.447676,5.447676,0.0,False,-100.0
28,0.40821290016174316,3,8.238846,7.775367,0.46347904,False,-26.666666666666668
29,0.27211499214172363,2,5.3493476,5.431362,-0.08201456,False,-49.885021502073414
30,0.13869738578796387,1,4.1606774,4.074658,0.086019516,False,-100.0
31,0.13933658599853516,1,8.044155,8.044155,0.0,False,-100.0
32,0.4087681770324707,3,8.171027,8.171027,0.0,False,-31.76485021070717
33,0.13669967651367188,1,6.0418897,6.0418897,0.0,False,-100.0
34,0.13712120056152344,1,6.100602,6.100602,0.0,False,-100.0
35,0.4089212417602539,3,4.808661,4.907517,-0.09885597,False,-33.5
36,0.2722196578979492,2,19.176147,19.176147,0.0,False,-50.125
37,0.2726762294769287,2,2.1828904,2.1828904,0.0,False,-50.98139267038974
38,0.13685083389282227,1,8.334286,8.334286,0.0,False,-100.0
39,0.4090156555175781,3,10.760421,10.800586,-0.040164948,False,-33.5
40,0.5436625480651855,4,7.748638,7.5042763,0.24436188,False,-22.718733739272892
41,0.4076411724090576,3,9.698004,9.668876,0.029128075,False,-32.43821021349595
