# =*= AGENT TRAINING =*=
#
# = TRAINING PARAMETERS =
#  * Agent type: reactive
#  * Dataset used: matterport
#  * Training length: 15000 episodes
#  * Date / hour: 2021-08-27_15:58:06
# = ADDITIONAL PARAMETERS =
#  * reward_method: contour
#  * prioritized: False
#  * collisions: False
#
# = EPISODE TRAINING RESULTS

episode,time_taken,actions_taken,initial_goal_distance,final_goal_distance,distance_travelled,successful,average_reward
1,0.03644371032714844,13,21.379547,21.359713,0.019834518,False,-8.443004456195432
2,0.008100509643554688,3,7.263616,7.031256,0.23235989,False,-33.5305052400815
3,0.0033016204833984375,2,9.287826,9.287826,0.0,False,-50.125
4,0.005346775054931641,3,23.883207,23.863926,0.019281387,False,-32.857287089029946
5,0.0018947124481201172,1,23.285769,23.285769,0.0,False,-100.0
6,0.003650665283203125,2,3.2693229,3.1652894,0.10403347,False,-45.07045106139279
7,0.00506901741027832,3,23.441715,23.44043,0.001285553,False,-33.45714823404948
8,0.0019845962524414062,1,6.922226,6.922226,0.0,False,-100.0
9,0.006483793258666992,3,10.268022,10.268022,0.0,False,-32.86815161122505
10,0.0053331851959228516,3,18.368591,18.491814,-0.12322235,False,-37.06130500633208
11,0.012683629989624023,7,13.081788,12.338217,0.7435713,False,-10.107142857142858
12,0.009381771087646484,4,12.954127,12.55942,0.39470768,False,-17.71038957800306
13,0.00506138801574707,3,10.758208,10.511505,0.24670315,False,-28.124170395832
14,0.005030393600463867,2,12.8512,12.874215,-0.023015022,False,-51.5203637648666
15,0.009985685348510742,5,15.674685,15.8626,-0.1879158,False,-23.84209652151326
16,2.002462387084961,16,5.122386,6.522579,-1.4001932,False,-18.193138729621623
17,0.9454319477081299,7,21.760414,21.996897,-0.23648262,False,-21.039907190212098
18,0.40497875213623047,3,17.70774,17.70774,0.0,False,-33.5
19,0.13549184799194336,1,16.933771,16.933771,0.0,False,-100.0
20,1.3486709594726562,10,6.321111,6.503543,-0.1824317,False,-12.315552727426143
21,0.4097893238067627,3,23.25649,23.25649,0.0,False,-33.5
22,0.676199197769165,5,14.000907,14.000907,0.0,False,-20.51682611396036
23,0.8145523071289062,6,9.860781,9.58979,0.27099037,False,-13.4672963420684
24,0.13612747192382812,1,19.18732,19.18732,0.0,False,-100.0
25,0.5396959781646729,4,20.340498,20.340498,0.0,False,-25.108888954456347
26,0.2765233516693115,2,19.661558,19.41308,0.24847794,False,-45.0
27,0.6772222518920898,5,23.883434,23.883434,0.0,False,-20.2
28,0.9423902034759521,7,7.5920763,7.5920763,0.0,False,-14.5
29,0.27100682258605957,2,9.453429,9.376397,0.07703209,False,-46.27339553833008
30,0.13619136810302734,1,16.9787,16.9787,0.0,False,-100.0
31,0.5385262966156006,4,21.751564,21.751564,0.0,False,-25.307489248963293
32,0.27088069915771484,2,17.188974,17.188974,0.0,False,-47.82627878057906
33,0.27341794967651367,2,16.530165,16.530165,0.0,False,-50.125
34,0.27345752716064453,2,10.676055,10.676055,0.0,False,-50.125
35,0.679271936416626,5,11.120416,11.120416,0.0,False,-20.34030239218696
36,0.1366429328918457,1,23.264406,23.264406,0.0,False,-100.0
37,0.8221821784973145,6,12.235562,11.744603,0.49095917,False,-13.272783714953258
38,0.5412516593933105,4,10.546768,10.924932,-0.37816334,False,-35.306129016201055
39,0.5449004173278809,4,14.354844,14.354844,0.0,False,-24.96606097571214
40,0.2718179225921631,2,15.393405,15.393405,0.0,False,-49.682976047772854
41,0.40638208389282227,3,20.861431,20.861431,0.0,False,-33.5
42,0.13600516319274902,1,9.4050045,9.4050045,0.0,False,-100.0
43,0.2716670036315918,2,20.200665,20.200665,0.0,False,-49.65230152336369
44,0.8092930316925049,6,8.669181,8.766924,-0.097743034,False,-18.584043405355413
45,0.27173280715942383,2,16.693426,16.693426,0.0,False,-50.6671483822372
46,0.27123236656188965,2,21.296558,21.384697,-0.08813858,False,-54.77190751403987
47,0.809898853302002,6,15.117928,15.117928,0.0,False,-15.645423269493714
48,1.4842686653137207,11,18.35259,17.713436,0.63915443,False,-7.584172424351561
49,1.0821003913879395,8,2.927562,2.768348,0.15921402,False,-10.931221830198034
50,0.13608050346374512,1,7.1994824,7.1994824,0.0,False,-100.0
51,0.6756858825683594,5,23.840103,24.529316,-0.6892128,False,-34.33436908258609
52,0.40522050857543945,3,7.0164876,6.933253,0.08323479,False,-28.85288683573405
53,0.6750404834747314,5,9.75072,9.640553,0.11016655,False,-18.4610444904838
54,0.8072586059570312,6,24.104834,24.298546,-0.19371223,False,-20.14442150611482
55,0.13676071166992188,1,25.023035,25.023035,0.0,False,-100.0
56,0.13685989379882812,1,9.605197,9.605197,0.0,False,-100.0
57,0.6749482154846191,5,6.4458375,7.195222,-0.7493844,False,-35.1876880645752
58,0.27065014839172363,2,16.513018,16.513018,0.0,False,-50.125
59,0.6775236129760742,5,18.867107,18.867107,0.0,False,-19.982146467287112
60,0.13710236549377441,1,10.550897,10.550897,0.0,False,-100.0
61,0.40671491622924805,3,9.975213,9.964324,0.010889053,False,-32.60285721776563
62,0.13622164726257324,1,20.425306,20.425306,0.0,False,-100.0
63,0.27106714248657227,2,10.693669,10.693669,0.0,False,-50.125
64,0.40673279762268066,3,17.285143,17.285143,0.0,False,-34.39694507682399
65,0.406353235244751,3,18.80679,18.707106,0.09968376,False,-30.95116708700425
66,0.13710713386535645,1,11.17178,11.17178,0.0,False,-100.0
67,0.13684654235839844,1,16.391314,16.391314,0.0,False,-100.0
68,0.579676628112793,4,15.1949835,15.356524,-0.16154099,False,-29.15788415395741
69,0.5418186187744141,4,7.1922793,7.184118,0.008161545,False,-24.983461380004883
70,0.1365070343017578,1,15.702536,15.702536,0.0,False,-100.0
71,0.540475606918335,4,10.94644,10.759841,0.18659878,False,-22.109399574286783
72,0.13642454147338867,1,7.469132,7.469132,0.0,False,-100.0
73,0.2706122398376465,2,7.8582163,7.6966743,0.16154194,False,-45.0
74,0.542008638381958,4,17.385023,17.385023,0.0,False,-25.1875
75,0.543691873550415,4,22.941534,22.941534,0.0,False,-25.879778932592558
76,0.26947665214538574,2,16.046473,16.046473,0.0,False,-50.125
77,0.40433430671691895,3,9.376938,9.764581,-0.38764286,False,-46.42142868041992
78,0.9479796886444092,7,4.2499766,4.2499766,0.0,False,-14.5
79,0.5399587154388428,4,9.749353,9.914494,-0.16514015,False,-42.8449015249802
80,0.5425529479980469,4,9.985225,9.985225,0.0,False,-24.85285739607002
81,0.1369171142578125,1,14.887628,14.887628,0.0,False,-100.0
82,0.2711961269378662,2,12.452408,12.452408,0.0,False,-48.98861684998633
83,0.26938867568969727,2,5.8565264,5.8565264,0.0,False,-49.98871905254373
84,0.1369643211364746,1,14.211092,14.211092,0.0,False,-100.0
85,1.0762410163879395,8,11.158699,11.260402,-0.10170269,False,-14.077402224185562
86,1.747816801071167,13,7.9999905,7.9256015,0.07438898,False,-7.924487284117626
87,0.8077130317687988,6,8.035193,7.7158413,0.31935215,False,-13.025926780734457
88,0.13605237007141113,1,4.4724007,4.4724007,0.0,False,-100.0
89,0.6780588626861572,5,9.236955,9.236955,0.0,False,-21.46368576940167
90,0.136521577835083,1,19.79999,19.79999,0.0,False,-100.0
91,0.4060556888580322,3,11.385473,11.417438,-0.031964302,False,-37.582765556721746
92,0.41292381286621094,3,7.032397,6.885369,0.14702797,False,-33.94254650643825
93,0.5403599739074707,4,13.672612,13.177291,0.49532127,False,-20.0625
94,0.13693690299987793,1,6.318274,6.318274,0.0,False,-100.0
95,1.7571649551391602,13,19.679972,19.337322,0.34264946,False,-6.724479472203519
96,0.9464035034179688,7,24.657843,24.852224,-0.19438171,False,-17.10822659479871
97,0.41216492652893066,3,9.872228,9.637842,0.23438549,False,-29.834002702965677
98,1.496408462524414,11,5.910417,5.3928804,0.51753664,False,-16.897938495367406
99,0.2725071907043457,2,21.833956,21.833956,0.0,False,-50.125
100,0.6821460723876953,5,21.310373,20.813028,0.49734497,False,-15.731426765419746
101,0.9454073905944824,7,24.675306,24.641678,0.033628464,False,-14.444523917811823
102,0.13773345947265625,1,17.33445,17.33445,0.0,False,-100.0
103,0.13652944564819336,1,21.53756,21.53756,0.0,False,-100.0
104,0.9433093070983887,7,24.190308,24.587906,-0.39759827,False,-20.94662395720375
105,0.13574719429016113,1,4.70802,4.70802,0.0,False,-100.0
106,0.2707335948944092,2,15.64071,15.885695,-0.24498558,False,-64.42017033446814
107,0.1364593505859375,1,16.169537,16.169537,0.0,False,-100.0
108,1.7552680969238281,13,22.00552,21.288427,0.7170925,False,-5.5576923076923075
109,0.2715153694152832,2,13.615667,13.854634,-0.23896694,False,-63.32294985069552
110,0.13605380058288574,1,20.606527,20.606527,0.0,False,-100.0
111,0.8089280128479004,6,25.133316,25.131868,0.0014476776,False,-17.090225593716468
112,0.13657355308532715,1,19.374132,19.374132,0.0,False,-100.0
113,0.6747875213623047,5,19.23588,19.694942,-0.45906258,False,-28.78935739835647
114,0.27430033683776855,2,11.86463,11.927423,-0.06279278,False,-53.837655875238625
115,0.41016650199890137,3,6.03912,5.8731713,0.16594887,False,-29.01023116051609
116,0.1380023956298828,1,13.772896,13.772896,0.0,False,-100.0
117,0.13875269889831543,1,7.2319894,7.2319894,0.0,False,-100.0
118,0.41727614402770996,3,9.893643,9.914203,-0.02055931,False,-34.522402499140334
119,0.4088151454925537,3,22.101582,22.101582,0.0,False,-33.5
120,0.5471034049987793,4,20.788164,20.539684,0.24847984,False,-22.625
121,0.9504718780517578,7,15.122878,15.418895,-0.2960167,False,-18.573200235422714
122,1.2236998081207275,9,23.6217,23.479574,0.14212608,False,-9.783074390489977
123,1.0937738418579102,8,13.115493,12.707099,0.40839386,False,-10.200930261366068
124,0.6798908710479736,5,10.076181,9.655497,0.4206848,False,-16.050938882603624
125,0.9524414539337158,7,6.9519167,7.162809,-0.2108922,False,-17.512745720999582
126,1.893681526184082,14,12.083887,13.530233,-1.4463463,False,-17.650170059989573
127,0.13712620735168457,1,22.508049,22.508049,0.0,False,-100.0
128,0.13715696334838867,1,8.960458,8.960458,0.0,False,-100.0
129,0.9532818794250488,7,26.029793,26.114319,-0.08452606,False,-15.851983229612026
130,1.914492130279541,13,7.275596,7.948197,-0.67260075,False,-13.280589640674338
131,0.13823723793029785,1,8.763192,8.763192,0.0,False,-100.0
132,0.41083550453186035,3,6.2832923,6.0626364,0.22065592,False,-30.741057798336254
133,0.1394355297088623,1,11.193889,11.193889,0.0,False,-100.0
134,0.27232789993286133,2,12.524281,12.524281,0.0,False,-49.69317681950133
135,0.13929986953735352,1,6.707391,6.707391,0.0,False,-100.0
136,0.27359890937805176,2,15.486532,15.486532,0.0,False,-50.1543219843993
137,0.410825252532959,3,8.040374,8.040374,0.0,False,-34.62697832568214
138,1.4926927089691162,11,20.439844,19.540222,0.89962196,False,-5.590909090909091
139,0.13761544227600098,1,13.385883,13.385883,0.0,False,-100.0
140,0.8169190883636475,6,16.487343,16.68829,-0.20094681,False,-20.57658655655962
141,0.13964152336120605,1,19.382431,19.382431,0.0,False,-100.0
142,0.677304744720459,5,11.917136,12.506532,-0.5893955,False,-30.68500100796796
143,0.13709378242492676,1,23.818687,23.818687,0.0,False,-100.0
144,0.4084451198577881,3,10.673566,10.673566,0.0,False,-33.5
145,0.27486634254455566,2,11.215879,11.45758,-0.24170017,False,-57.188671045822844
146,0.27401065826416016,2,10.736428,10.736428,0.0,False,-49.54322028569152
147,0.9513757228851318,7,8.368416,8.807203,-0.43878746,False,-21.319301572278796
148,0.5468757152557373,4,15.392872,15.333524,0.059348106,False,-23.80818180330857
149,0.272266149520874,2,22.276737,22.276737,0.0,False,-50.125
150,0.6847350597381592,5,17.156704,16.922115,0.23458862,False,-17.920793210207286
151,0.4124929904937744,3,12.09671,12.322103,-0.22539234,False,-41.827182614306594
152,0.1371595859527588,1,20.3176,20.3176,0.0,False,-100.0
153,0.54343581199646,4,20.260231,20.162043,0.0981884,False,-22.732789993286133
154,0.4074406623840332,3,20.833836,20.833836,0.0,False,-33.158448030549
155,0.13736414909362793,1,9.560189,9.560189,0.0,False,-100.0
156,0.41013574600219727,3,13.667035,13.547533,0.11950207,False,-30.083333333333332
157,0.13754987716674805,1,24.340008,24.340008,0.0,False,-100.0
158,0.9564800262451172,7,21.766855,21.584024,0.18283081,False,-12.867030240627823
