# =*= AGENT TRAINING =*=
#
# = TRAINING PARAMETERS =
#  * Agent type: reactive
#  * Dataset used: matterport
#  * Training length: 15000 episodes
#  * Date / hour: 2021-08-24_15:02:31
# = ADDITIONAL PARAMETERS =
#  * reward_method: contour
#  * prioritized: False
#  * collisions: True
#
# = EPISODE TRAINING RESULTS

episode,time_taken,actions_taken,initial_goal_distance,final_goal_distance,distance_travelled,successful,average_reward
1,0.052964210510253906,13,21.379547,21.359713,0.019834518,False,-7.9035049558399315
2,0.00606536865234375,3,7.263616,7.031256,0.23235989,False,-32.97424299798273
3,0.003522634506225586,2,9.287826,9.287826,0.0,False,-50.05
4,0.005892038345336914,3,23.883207,23.863926,0.019281387,False,-32.87673828246692
5,0.0020308494567871094,1,23.285769,23.285769,0.0,False,-100.0
6,0.004456281661987305,2,3.2693229,3.1652894,0.10403347,False,-46.88583184849692
7,0.006103038787841797,3,23.441715,23.44043,0.001285553,False,-33.48330479433274
8,0.0021619796752929688,1,6.922226,6.922226,0.0,False,-100.0
9,0.0063250064849853516,3,10.268022,10.268022,0.0,False,-33.00563819078629
10,0.005910158157348633,3,18.368591,18.491814,-0.12322235,False,-36.98743957298013
11,0.022821903228759766,7,13.081788,12.338217,0.7435713,False,-9.998242135238579
12,0.007999897003173828,4,12.954127,12.55942,0.39470768,False,-17.72543592525235
13,0.00606083869934082,3,10.758208,10.511505,0.24670315,False,-26.935426700218414
14,0.0043773651123046875,2,12.8512,12.874215,-0.023015022,False,-51.50883338730709
15,0.014355897903442383,5,15.674685,15.8626,-0.1879158,False,-24.105973805173182
16,0.945319414138794,13,5.122386,6.087726,-0.96534014,False,-14.046626700780138
17,0.5435934066772461,3,21.760414,22.111006,-0.35059166,False,-45.086388651529944
18,1.2613732814788818,7,17.70774,17.946486,-0.23874474,False,-17.820029347451005
19,0.5378456115722656,3,16.933771,16.933771,0.0,False,-33.4
20,0.1799020767211914,1,6.321111,6.321111,0.0,False,-100.0
21,1.7991294860839844,10,23.25649,23.759409,-0.50291824,False,-15.637713400815155
22,0.5352387428283691,3,14.000907,14.000907,0.0,False,-30.847202496702025
23,0.8993101119995117,5,9.860781,9.860781,0.0,False,-19.066045450512668
24,0.7203369140625,4,19.18732,18.714306,0.47301483,False,-24.9600127016649
25,0.36037206649780273,2,20.340498,20.340498,0.0,False,-49.722613639897915
26,0.17940473556518555,1,19.661558,19.661558,0.0,False,-100.0
27,0.7102384567260742,4,23.883434,23.883434,0.0,False,-24.911460882669598
28,0.35832762718200684,2,7.5920763,7.3437233,0.248353,False,-45.0
29,0.888056755065918,5,9.453429,9.453429,0.0,False,-20.080000000000002
30,1.2569255828857422,7,16.9787,16.9787,0.0,False,-18.2799571603768
31,0.35788822174072266,2,21.751564,21.69195,0.05961418,False,-47.24021663206808
32,0.17985177040100098,1,17.188974,17.188974,0.0,False,-100.0
33,0.7106478214263916,4,16.530165,16.530165,0.0,False,-25.243933452102294
34,0.355438232421875,2,10.676055,10.676055,0.0,False,-49.70060863974952
35,0.35569238662719727,2,11.120416,11.120416,0.0,False,-50.829958194240746
36,0.35692286491394043,2,23.264406,23.264406,0.0,False,-50.390129957822225
37,0.8888950347900391,5,12.235562,12.235562,0.0,False,-19.89526894532426
38,0.17911362648010254,1,10.546768,10.546768,0.0,False,-100.0
39,0.8922936916351318,5,14.354844,13.9548235,0.4000206,False,-16.04
40,0.17876267433166504,1,15.393405,15.393405,0.0,False,-100.0
