# =*= AGENT TRAINING =*=
#
# = TRAINING PARAMETERS =
#  * Agent type: reactive
#  * Dataset used: matterport
#  * Training length: 10000 episodes
#  * Date / hour: 2021-08-23_11:31:32
# = ADDITIONAL PARAMETERS =
#  * reward_method: contour
#
# = EPISODE TRAINING RESULTS

episode,time_taken,actions_taken,goal_distance,successful,average_reward
1,0.04857659339904785,13,21.359713,False,-7.731342928423848
2,0.0059664249420166016,3,7.031256,False,-34.02271488682799
3,0.003482818603515625,2,9.287826,False,-50.0
4,0.005685567855834961,3,23.863926,False,-33.29295228092369
5,0.002051115036010742,1,23.285769,False,-100.0
6,0.004330873489379883,2,3.1652894,False,-49.887333720468426
7,0.006029367446899414,3,23.44043,False,-33.354279468794935
8,0.0020880699157714844,1,6.922226,False,-100.0
9,0.0061800479888916016,3,10.268022,False,-33.254460971490595
10,0.005692243576049805,3,18.491814,False,-33.64008007768195
11,0.01887226104736328,7,12.338217,False,-13.393922887853828
12,0.007816553115844727,4,12.55942,False,-24.373000886380918
13,0.006477832794189453,3,10.511505,False,-31.928119775957402
14,0.004300832748413086,2,12.874215,False,-50.176691566072236
15,0.011278867721557617,5,15.8626,False,-20.42936315703073
16,0.9366092681884766,13,6.087726,False,-8.382773503702076
17,0.5327925682067871,3,22.111006,False,-34.50197219848633
18,1.2508535385131836,7,17.946486,False,-14.634370532750523
19,0.5318198204040527,3,16.933771,False,-33.333333333333336
20,0.1784048080444336,1,6.321111,False,-100.0
21,1.785623550415039,10,23.759409,False,-10.606624436754828
22,0.5335102081298828,3,14.000907,False,-32.82277383267374
23,0.8914852142333984,5,9.860781,False,-19.797209090102534
24,0.8904519081115723,5,18.714306,False,1.5776626808953211
25,0.17940521240234375,1,20.340498,False,-100.0
26,0.17870593070983887,1,19.661558,False,-100.0
27,0.7130527496337891,4,23.883434,False,-24.967292176533938
28,0.35578060150146484,2,7.3437233,False,-48.88785734980429
29,0.8913817405700684,5,9.453429,False,-20.0
30,1.2538979053497314,7,16.9787,False,-15.067420003503928
31,0.36015772819519043,2,21.69195,False,-49.73611423400635
32,0.18076014518737793,1,17.188974,False,-100.0
33,0.7145757675170898,4,16.530165,False,-25.033786690420463
34,0.35787391662597656,2,10.676055,False,-49.93012172794991
35,0.35936951637268066,2,11.120416,False,-50.15599163884816
36,0.3572115898132324,2,23.264406,False,-50.06802599156444
37,0.8980722427368164,5,12.235562,False,-19.963053789064848
38,0.1826028823852539,1,10.546768,False,-100.0
39,0.8983526229858398,5,13.9548235,False,0.9861724527472233
40,0.17805695533752441,1,15.393405,False,-100.0
41,0.715893030166626,4,20.415894,False,-21.935496757818363
42,0.7051804065704346,4,9.4050045,False,-25.033746844670024
43,0.35772204399108887,2,20.200665,False,-50.0
44,0.5295736789703369,3,8.669181,False,-33.333333333333336
45,0.17847585678100586,1,16.693426,False,-100.0
46,0.3587210178375244,2,21.296558,False,-49.695757150923924
