# =*= AGENT TRAINING =*=
#
# = TRAINING PARAMETERS =
#  * Agent type: reactive
#  * Dataset used: matterport
#  * Training length: 15000 episodes
#  * Date / hour: 2021-08-25_12:18:45
# = ADDITIONAL PARAMETERS =
#  * reward_method: contour
#  * prioritized: False
#  * collisions: False
#
# = EPISODE TRAINING RESULTS

episode,time_taken,actions_taken,initial_goal_distance,final_goal_distance,distance_travelled,successful,average_reward
1,0.05029630661010742,13,21.379547,21.359713,0.019834518,False,-8.04196649430147
2,0.008340597152709961,3,7.263616,7.031256,0.23235989,False,-33.07424299798273
3,0.0034711360931396484,2,9.287826,9.287826,0.0,False,-50.125
4,0.007215738296508789,3,23.883207,23.863926,0.019281387,False,-32.97673828246692
5,0.001971721649169922,1,23.285769,23.285769,0.0,False,-100.0
6,0.004209041595458984,2,3.2693229,3.1652894,0.10403347,False,-46.96083184849692
7,0.0060460567474365234,3,23.441715,23.44043,0.001285553,False,-33.58330479433274
8,0.002156972885131836,1,6.922226,6.922226,0.0,False,-100.0
9,0.0062296390533447266,3,10.268022,10.268022,0.0,False,-33.105638190786294
10,0.005675554275512695,3,18.368591,18.491814,-0.12322235,False,-37.087439572980124
11,0.015069961547851562,7,13.081788,12.338217,0.7435713,False,-10.06252784952429
12,0.007996559143066406,4,12.954127,12.55942,0.39470768,False,-17.76293592525235
13,0.006179332733154297,3,10.758208,10.511505,0.24670315,False,-26.985426700218415
14,0.004469633102416992,2,12.8512,12.874215,-0.023015022,False,-51.583833387307095
15,0.011601448059082031,5,15.674685,15.8626,-0.1879158,False,-24.22597380517318
16,1.9027197360992432,16,5.122386,6.522579,-1.4001932,False,-18.801965814446334
17,1.2229816913604736,7,21.760414,21.996897,-0.23648262,False,-18.033357178829128
18,0.5240654945373535,3,17.70774,17.70774,0.0,False,-33.5
19,0.17474031448364258,1,16.933771,16.933771,0.0,False,-100.0
20,1.7387135028839111,10,6.321111,6.503543,-0.1824317,False,-11.898680930607792
21,0.5223121643066406,3,23.25649,23.25649,0.0,False,-33.857114765015616
22,0.8742382526397705,5,14.000907,14.000907,0.0,False,-20.508779161852363
23,1.0462610721588135,6,9.860781,9.58979,0.27099037,False,-13.291739875408268
24,0.17515921592712402,1,19.18732,19.18732,0.0,False,-100.0
25,0.6980805397033691,4,20.340498,20.340498,0.0,False,-25.02380681994896
26,0.34863877296447754,2,19.661558,19.41308,0.24847794,False,-45.0
27,0.8734598159790039,5,23.883434,23.883434,0.0,False,-20.2
28,1.2199971675872803,7,7.5920763,7.5920763,0.0,False,-14.732478670936644
29,0.355236291885376,2,9.453429,9.376397,0.07703209,False,-46.393805108233835
30,0.17602133750915527,1,16.9787,16.9787,0.0,False,-100.0
31,0.6979010105133057,4,21.751564,21.751564,0.0,False,-25.746690730738806
32,0.35025787353515625,2,17.188974,17.188974,0.0,False,-48.21959423483952
33,0.3509492874145508,2,16.530165,16.530165,0.0,False,-49.81051679025859
34,0.35387349128723145,2,10.676055,10.676055,0.0,False,-50.31822775368869
35,0.8751833438873291,5,11.120416,11.120416,0.0,False,-19.828395535791696
36,0.17674732208251953,1,23.264406,23.264406,0.0,False,-100.0
37,1.0476348400115967,6,12.235562,11.744603,0.49095917,False,-13.261152428726481
38,0.6991641521453857,4,10.546768,10.924932,-0.37816334,False,-35.14119009009323
39,0.699831485748291,4,14.354844,14.354844,0.0,False,-24.80943937396256
40,0.35039329528808594,2,15.393405,15.393405,0.0,False,-50.125
41,0.5259883403778076,3,20.861431,20.861431,0.0,False,-33.5
42,0.1756730079650879,1,9.4050045,9.4050045,0.0,False,-100.0
43,0.3495826721191406,2,20.200665,20.200665,0.0,False,-50.125
44,1.049668550491333,6,8.669181,8.766924,-0.097743034,False,-18.57689248536703
45,0.35076284408569336,2,16.693426,16.693426,0.0,False,-48.18108073346332
46,0.35072994232177734,2,21.296558,21.384697,-0.08813858,False,-54.851579872138245
47,1.050107717514038,6,15.117928,15.117928,0.0,False,-15.990216506520824
48,1.913743495941162,11,18.35259,17.713436,0.63915443,False,-7.417107359616569
49,1.398834228515625,8,2.927562,2.768348,0.15921402,False,-11.249657925787254
50,0.17714715003967285,1,7.1994824,7.1994824,0.0,False,-100.0
51,0.8815147876739502,5,23.840103,24.529316,-0.6892128,False,-34.59201666356948
52,0.5280861854553223,3,7.0164876,6.933253,0.08323479,False,-28.925318167210246
53,0.8769240379333496,5,9.75072,9.640553,0.11016655,False,-18.42893320622661
54,1.035489559173584,6,24.104834,24.298546,-0.19371223,False,-20.235348289163085
55,0.17760586738586426,1,25.023035,25.023035,0.0,False,-100.0
